Name,SecId,Morningstar Category,Base Currency,R^2,Base Risk Score,Leverage Ratio,MPRS,Alignment Score,Misfit Risk,Residual Risk,Asset Allocation Risk,Blended Benchmark Risk,Covariance of Asset Allocation & Misfit
Melchior European Opportunities I7 GBP,F0000022SJ,EAA Fund Europe Flex-Cap Equity,Pound Sterling,90.69%,110,1.1,120.54,16.81,7.31,9.5,111.04,100.38,1.67
SVM All Europe SRI B Acc,FOGBR05TW3,EAA Fund Europe Flex-Cap Equity,Pound Sterling,87.68%,110,1.36,149.56,35.37,17.13,18.24,131.32,80.9,16.65
St James's Place Gr Europe Progress Acc,F0GBR04LP7,EAA Fund Europe Large-Cap Blend Equity,Pound Sterling,92.65%,98.95,1.04,102.47,13.76,6.83,6.93,95.55,95.55,-3.42
CT Pan Eurpean Focus Ins Acc GBP,F0GBR06XFS,EAA Fund Europe Large-Cap Growth Equity,Pound Sterling,80.08%,102.4,1.1,112.58,29.96,10.52,19.44,93.14,93.14,-5.26
IFSL Trade Union Unit Trust,F0GBR04SB9,EAA Fund Europe Large-Cap Growth Equity,Pound Sterling,81.26%,96.51,1.11,107.06,22.32,2.26,20.06,87,87,-1.13
abrdn European Smaller Companies A Acc,F0GBR04EAC,EAA Fund Europe Small-Cap Equity,Pound Sterling,79.65%,110,1.45,159.31,42.75,13.81,28.94,130.37,75.95,20.3
Lazard European Smaller Coms A Acc,F0000023H4,EAA Fund Europe Small-Cap Equity,Pound Sterling,87.01%,110,1.51,165.69,41.85,24.8,17.06,148.64,73.03,25.41
Montanaro European Smlr Comp œ,F0GBR05A7R,EAA Fund Europe Small-Cap Equity,Pound Sterling,73.21%,110,1.35,148.98,45.36,9.78,35.59,113.39,81.22,11.2
MontLake MygaleEvnDrv UCITS œ Int A Fndr,F00000WQSV,EAA Fund Event Driven,Pound Sterling,72.98%,8.62,1.17,10.1,8.58,5.85,2.73,7.36,7.36,-2.92
abrdn (SLI) Corporate Bond R Inc,F00000WC6U,EAA Fund GBP Corporate Bond,Pound Sterling,80.79%,44.32,1.12,49.62,18.01,7.98,10.03,39.59,39.59,-3.99
abrdn AAA Bond P1 Acc,F00000OPTS,EAA Fund GBP Corporate Bond,Pound Sterling,89.26%,8.83,1.09,9.6,2.48,1,1.48,8.12,8.12,-0.5
abrdn Corporate Bond I Inc,F00000W3OK,EAA Fund GBP Corporate Bond,Pound Sterling,84.29%,41.5,1.1,45.58,17.7,9.91,7.79,37.79,37.79,-4.96
abrdn Ethical Corporate Bond I Acc,F0GBR06XQ2,EAA Fund GBP Corporate Bond,Pound Sterling,81.73%,43.87,1.12,48.96,19.78,10.12,9.66,39.3,39.3,-5.06
abrdn Investment Grade Corp Bnd I Inc,F0GBR04RZ6,EAA Fund GBP Corporate Bond,Pound Sterling,82.27%,45.13,1.11,50.07,20.59,11.2,9.39,40.68,40.68,-5.6
abrdn Standard Life UK Corp Bd Tr Inst,F00001CM0Q,EAA Fund GBP Corporate Bond,Pound Sterling,85.93%,38.12,1.09,41.66,16.2,9.42,6.78,34.88,34.88,-4.71
Aegon Ethical Corporate Bond GBP B Acc,F0GBR06I6A,EAA Fund GBP Corporate Bond,Pound Sterling,84.44%,33.75,1.11,37.3,14,7.24,6.76,30.54,30.54,-3.62
Aegon Investment Grade Bond GBP B Acc,F00000271C,EAA Fund GBP Corporate Bond,Pound Sterling,79.87%,38.98,1.13,44.02,15.85,6.34,9.51,34.51,34.51,-3.17
Aegon Sterling Corporate Bond GBP B Acc,F0GBR04VJQ,EAA Fund GBP Corporate Bond,Pound Sterling,81.88%,39.71,1.11,44.24,16.52,7.91,8.61,35.64,35.64,-3.96
AI Non-Gilt Bd All Stks Idx Insrd PenAcc,F00000YB6U,EAA Fund GBP Corporate Bond,Pound Sterling,81.82%,38.62,1.12,43.31,17.94,9.07,8.87,34.44,34.44,-4.54
AI Non-Gilt Bd Ovr 15 Yrs IdxInsrdPenAcc,F00000YB6W,EAA Fund GBP Corporate Bond,Pound Sterling,83.38%,71.37,1.14,81.17,58.69,40.27,18.42,62.75,62.75,-20.14
AI Sterling Corp Bond UK Corp Inc,F00000Y5FJ,EAA Fund GBP Corporate Bond,Pound Sterling,88.14%,42.93,1.07,45.94,19.51,13.68,5.82,40.12,40.12,-6.84
Aviva Investors Corporate Bd 1 GBP Inc,F0GBR04S2C,EAA Fund GBP Corporate Bond,Pound Sterling,86.76%,35.83,1.09,39.03,15.18,9.04,6.14,32.89,32.89,-4.52
Aviva Investors Monthly Inc Pls 1 œ Acc,F0GBR04FBL,EAA Fund GBP Corporate Bond,Pound Sterling,84.60%,38.94,1.1,42.96,15.86,8.21,7.65,35.31,35.31,-4.11
AXA ACTCarbTrnstnStlgBuy&MntnCrdtZGBPAcc,F00000SG7O,EAA Fund GBP Corporate Bond,Pound Sterling,84.21%,41.7,1.1,45.87,20.98,13.01,7.97,37.9,37.9,-6.5
AXA Sterling Corporate Bond Z Gross Acc,F000000GSU,EAA Fund GBP Corporate Bond,Pound Sterling,83.17%,32.23,1.11,35.93,12.26,5.24,7.02,28.91,28.91,-2.62
Baillie Gifford Investment Grd Bd B Inc,F0GBR04J0V,EAA Fund GBP Corporate Bond,Pound Sterling,81.06%,40.69,1.12,45.71,19.08,9.59,9.5,36.22,36.22,-4.79
Barclays Sterling Corporate Bd A Acc GBP,F0GBR06X3H,EAA Fund GBP Corporate Bond,Pound Sterling,86.50%,35.42,1.09,38.68,16.23,10,6.23,32.44,32.44,-5
BIBF All Stocks Corporate Bond B GBP Inc,F00001070Z,EAA Fund GBP Corporate Bond,Pound Sterling,82.47%,44.03,1.11,48.7,20.57,11.67,8.9,39.8,39.8,-5.84
BIBF Over 10 Year Corporate Bd B GBP Inc,F000010715,EAA Fund GBP Corporate Bond,Pound Sterling,82.71%,71.48,1.12,80.2,47.66,31.17,16.49,63.71,63.71,-15.59
BlackRock Corporate Bond 1-10 Year L Acc,F00000ITYN,EAA Fund GBP Corporate Bond,Pound Sterling,80.11%,31.37,1.12,35.25,11.26,3.94,7.33,27.92,27.92,-1.97
BlackRock Corporate Bond A Acc,F0GBR04RTU,EAA Fund GBP Corporate Bond,Pound Sterling,78.11%,38.46,1.14,43.87,14.96,4.82,10.15,33.72,33.72,-2.41
BlackRock UK Credit Scrnd Flex Acc GBP,F00000WHT2,EAA Fund GBP Corporate Bond,Pound Sterling,84.78%,46.1,1.09,50.28,21.15,13.14,8.01,42.27,42.27,-6.57
BNY Mellon Rspnb Hrzn UK Corp Bd StlgInc,F0GBR04RQE,EAA Fund GBP Corporate Bond,Pound Sterling,83.13%,46.74,1.1,51.51,20.29,11.19,9.1,42.41,42.41,-5.59
Brooks Macdonald Intl Inv High Income,F0GBR052YX,EAA Fund GBP Corporate Bond,Pound Sterling,82.68%,41.89,1.11,46.36,18.73,10.21,8.52,37.85,37.85,-5.11
Brooks Macdonald Intl Inv Sterling Bond,F0GBR052Z2,EAA Fund GBP Corporate Bond,Pound Sterling,80.29%,50.17,1.11,55.79,25.5,14.82,10.68,45.11,45.11,-7.41
CT Corporate Bond 1 Inc,F0GBR04DMG,EAA Fund GBP Corporate Bond,Pound Sterling,82.65%,38.74,1.1,42.76,13.63,5.98,7.65,35.11,35.11,-2.99
CT Institutional Sterling Corp Bd 3 Acc,F00000Q03K,EAA Fund GBP Corporate Bond,Pound Sterling,85.86%,39.06,1.09,42.6,16.87,10.1,6.77,35.82,35.82,-5.05
CT Long Dated Sterling Corp Bd 3 Acc,F00000Q03M,EAA Fund GBP Corporate Bond,Pound Sterling,85.56%,69.52,1.12,77.54,59.21,43.99,15.22,62.32,62.32,-21.99
CT Responsible Sterling Corp Bd 2 Inc,F000000L1C,EAA Fund GBP Corporate Bond,Pound Sterling,85.76%,37.02,1.09,40.54,16.47,9.75,6.72,33.82,33.82,-4.87
CT Sterling Corporate Bond Rtl Inc,F0GBR0532E,EAA Fund GBP Corporate Bond,Pound Sterling,80.24%,47.13,1.11,52.54,20.16,9.9,10.26,42.28,42.28,-4.95
CT Sterling MLD Corp Bd Ins Grs Inc œ,F00000Y7R9,EAA Fund GBP Corporate Bond,Pound Sterling,86.22%,55.97,1.09,60.75,31.8,22.61,9.19,51.56,51.56,-11.31
CT UK Social Bond Inst Accœ,F00000SDV4,EAA Fund GBP Corporate Bond,Pound Sterling,81.60%,15.4,1.12,17.32,5.32,1.69,3.63,13.69,13.69,-0.85
Fidelity Corporate Bond Master Acc GBP,F00000Y876,EAA Fund GBP Corporate Bond,Pound Sterling,78.06%,36.76,1.13,41.59,13.02,3.93,9.09,32.49,32.49,-1.96
Fidelity Duration 10 Feeder Acc GBP,F00000Y877,EAA Fund GBP Corporate Bond,Pound Sterling,86.77%,48.01,1.08,52.02,27,19.28,7.72,44.3,44.3,-9.64
Fidelity Duration 16 Feeder Acc GBP,F00000Y878,EAA Fund GBP Corporate Bond,Pound Sterling,90.79%,63.48,1.07,68.18,80.61,71.53,9.08,59.1,59.1,-35.77
Fidelity Duration 20 Feeder Acc GBP,F00000Y879,EAA Fund GBP Corporate Bond,Pound Sterling,89.76%,76.72,1.08,83.1,138.42,126.15,12.27,70.82,70.82,-63.07
Fidelity Duration 3 Feeder Acc GBP,F00000Y87A,EAA Fund GBP Corporate Bond,Pound Sterling,72.68%,31.32,1.16,36.31,12.04,2.74,9.3,27.01,27.01,-1.37
Fidelity Duration 5 Feeder Acc GBP,F00000Y87B,EAA Fund GBP Corporate Bond,Pound Sterling,77.91%,36.52,1.13,41.37,12.99,3.86,9.13,32.24,32.24,-1.93
Fidelity Lng Dtd Stlg Corp Bd W Inc,F0GBR04G97,EAA Fund GBP Corporate Bond,Pound Sterling,84.14%,69.63,1.11,77.13,42.76,28.48,14.28,62.85,62.85,-14.24
Fidelity Sterling Corp Bond W Inc,F0GBR04G95,EAA Fund GBP Corporate Bond,Pound Sterling,83.86%,38.39,1.11,42.54,18.47,10.57,7.9,34.64,34.64,-5.28
Fidelity Sust MoneyBuilder Inc A-INC-GBP,F0GBR04S1G,EAA Fund GBP Corporate Bond,Pound Sterling,85.17%,37.94,1.1,41.71,16.53,9.33,7.2,34.51,34.51,-4.67
FTF Franklin Sterling Corp Bd W GBP Acc,F00000YM5H,EAA Fund GBP Corporate Bond,Pound Sterling,82.44%,41.12,1.11,45.54,17.31,8.91,8.4,37.14,37.14,-4.46
GS Sterling Credit Portfolio I Inc GBP,F000002JFT,EAA Fund GBP Corporate Bond,Pound Sterling,84.89%,49.99,1.08,54.18,21.42,13.37,8.05,46.13,46.13,-6.69
Halifax Corporate Bd B,F0GBR05B94,EAA Fund GBP Corporate Bond,Pound Sterling,82.31%,46.71,1.1,51.43,20.09,11.07,9.02,42.41,42.41,-5.53
HSBC Corporate Bond Retail Inc,F0GBR04CNN,EAA Fund GBP Corporate Bond,Pound Sterling,83.21%,46.91,1.1,51.51,20.36,11.56,8.8,42.71,42.71,-5.78
HSBC Sterling Corp Bd Idx Acc C,F00000XBXV,EAA Fund GBP Corporate Bond,Pound Sterling,86.54%,35.53,1.09,38.82,15.7,9.4,6.3,32.52,32.52,-4.7
IFSL Marlborough Bond Income A Inc,F0GBR04S08,EAA Fund GBP Corporate Bond,Pound Sterling,84.58%,36.99,1.09,40.46,10.9,4.24,6.65,33.81,33.81,-2.12
Insight Buy and Maintain Bond B GBP Inc,F00001037X,EAA Fund GBP Corporate Bond,Pound Sterling,82.23%,44.3,1.11,49.37,21.14,11.52,9.62,39.75,39.75,-5.76
Insight Inv UK Corp All Mat Bd P2,F0GBR06KEX,EAA Fund GBP Corporate Bond,Pound Sterling,82.96%,31.19,1.13,35.26,13.7,6.03,7.67,27.59,27.59,-3.01
Insight Inv UK Corp Lng Mat Bd P2,F0GBR06KF1,EAA Fund GBP Corporate Bond,Pound Sterling,85.62%,57.58,1.12,64.38,51.08,38.21,12.87,51.51,51.51,-19.1
Invesco Corporate Bond UK Acc,F0GBR04RX0,EAA Fund GBP Corporate Bond,Pound Sterling,82.41%,26.86,1.12,30.09,8.35,2.23,6.12,23.98,23.98,-1.12
iShares Corporate Bond Index (UK) L Acc,F00000J42T,EAA Fund GBP Corporate Bond,Pound Sterling,85.72%,39.13,1.09,42.72,18.2,11.31,6.89,35.83,35.83,-5.65
iShares UK Crdt Bd Idx (IE) Instl AccGBP,F00000LJS2,EAA Fund GBP Corporate Bond,Pound Sterling,89.30%,35.45,1.07,37.98,15.61,10.71,4.89,33.09,33.09,-5.36
Janus Henderson All Stocks Credit I Inc,F0GBR04SCG,EAA Fund GBP Corporate Bond,Pound Sterling,88.26%,37.23,1.08,40.06,15.57,10.11,5.46,34.6,34.6,-5.05
Janus Henderson Instl Lg Datd Crdt I Inc,F0GBR04SBT,EAA Fund GBP Corporate Bond,Pound Sterling,84.86%,72.31,1.13,81.36,64.26,47.16,17.1,64.26,64.26,-23.58
Janus Henderson Sterling Bond UT Acc,F0GBR04RUP,EAA Fund GBP Corporate Bond,Pound Sterling,87.59%,37.54,1.08,40.59,15.73,9.85,5.88,34.71,34.71,-4.92
JPM Sterling Bond A (dist) GBP,F0GBR04SNZ,EAA Fund GBP Corporate Bond,Pound Sterling,88.36%,61.52,1.08,66.69,41.76,31.82,9.93,56.75,56.75,-15.91
JPM Sterling Corporate Bond A Grs Acc,F0GBR04NT6,EAA Fund GBP Corporate Bond,Pound Sterling,86.81%,39.65,1.08,42.95,15.9,9.55,6.36,36.59,36.59,-4.77
Jupiter Corporate Bond L Inc,F0GBR04CXH,EAA Fund GBP Corporate Bond,Pound Sterling,82.90%,40.6,1.11,45.01,16.12,7.73,8.39,36.62,36.62,-3.86
Jupiter Investment Grade Bd L GBP Acc,F0GBR04RV7,EAA Fund GBP Corporate Bond,Pound Sterling,80.72%,42.82,1.12,48.04,18.23,8.34,9.88,38.16,38.16,-4.17
L&G Active Sterling Corp Bd Pl R Acc,F0GBR04UP1,EAA Fund GBP Corporate Bond,Pound Sterling,83.08%,46.52,1.1,51.24,20.26,11.25,9.01,42.24,42.24,-5.63
L&G Active Sterling Corporate Bd I Acc,F0GBR06I7G,EAA Fund GBP Corporate Bond,Pound Sterling,83.56%,47.71,1.1,52.33,22.13,13.31,8.82,43.51,43.51,-6.65
L&G Actv Shrt Dtd Sterling Corp Bd I Acc,F00000OUTW,EAA Fund GBP Corporate Bond,Pound Sterling,77.62%,24.56,1.14,27.88,9.71,3.47,6.24,21.64,21.64,-1.73
L&G Sterling Corporate Bond Index I Acc,F00000OJ8R,EAA Fund GBP Corporate Bond,Pound Sterling,90.39%,31.15,1.07,33.31,16.48,12.29,4.19,29.12,29.12,-6.14
Legg Mason WA UK Inv Grd Crdt A GBP Acc,F00000Y7E2,EAA Fund GBP Corporate Bond,Pound Sterling,86.94%,40.67,1.08,43.93,16.29,10,6.29,37.64,37.64,-5
LF Canlife Corporate Bond C Acc,F00000PS4O,EAA Fund GBP Corporate Bond,Pound Sterling,82.85%,44.75,1.1,49.36,18.85,10.06,8.79,40.57,40.57,-5.03
Liontrust Monthly Income Bond P Grs Inc,F00000IRWC,EAA Fund GBP Corporate Bond,Pound Sterling,75.69%,44.24,1.14,50.36,15.38,3.89,11.49,38.87,38.87,-1.94
Liontrust Sust Fut Corp Bd 3 Grs Inc,F0GBR06HXS,EAA Fund GBP Corporate Bond,Pound Sterling,77.73%,52.1,1.12,58.5,19.77,7.68,12.09,46.41,46.41,-3.84
M&G Corporate Bond GBP I Inc,F000000JU6,EAA Fund GBP Corporate Bond,Pound Sterling,82.45%,46.44,1.09,50.7,18.5,10.33,8.17,42.53,42.53,-5.17
M&G Strategic Corporate Bond GBP A Acc,F0GBR04FIC,EAA Fund GBP Corporate Bond,Pound Sterling,79.53%,47.8,1.12,53.31,14.94,4.48,10.46,42.85,42.85,-2.24
MI TwentyFour Core Corp Bd A Grs Inc,F00000WSE9,EAA Fund GBP Corporate Bond,Pound Sterling,86.05%,28.75,1.1,31.63,8.69,3.19,5.49,26.14,26.14,-1.6
Morgan Stanley UK Sterling Corp Bd I Acc,F0GBR04UGV,EAA Fund GBP Corporate Bond,Pound Sterling,81.29%,44.86,1.11,49.73,16.66,7.39,9.26,40.47,40.47,-3.7
NFU Mutual Corporate Bond I,F000013DUD,EAA Fund GBP Corporate Bond,Pound Sterling,84.58%,35.2,1.1,38.81,11.75,4.88,6.87,31.94,31.94,-2.44
PIMCO GIS UK Corporate Bd Instl GBP Acc,F000000K8C,EAA Fund GBP Corporate Bond,Pound Sterling,85.28%,41.69,1.09,45.38,17.4,10.32,7.08,38.3,38.3,-5.16
PIMCO GIS UK L/T Corp Bd Instl GBP Acc,F0GBR06T71,EAA Fund GBP Corporate Bond,Pound Sterling,87.34%,63.44,1.08,68.83,38,27.64,10.36,58.47,58.47,-13.82
Premier Miton Corporate Bd Mly Inc C Inc,F0GBR04VPR,EAA Fund GBP Corporate Bond,Pound Sterling,85.87%,23.71,1.09,25.94,5.99,1.74,4.26,21.68,21.68,-0.87
Quilter Inv Stlg Corp Bd A GBP Inc,F00000QLDF,EAA Fund GBP Corporate Bond,Pound Sterling,83.77%,40.29,1.1,44.42,18.2,10.32,7.88,36.54,36.54,-5.16
Quilter Investors Bond 2 A (GBP) Acc,F0GBR0548S,EAA Fund GBP Corporate Bond,Pound Sterling,83.20%,37.92,1.11,42.08,16.29,8.39,7.9,34.18,34.18,-4.2
Quilter Investors IG Corp Bd A GBP Inc,F00000PTJJ,EAA Fund GBP Corporate Bond,Pound Sterling,81.38%,25.67,1.13,29.11,8.28,1.81,6.47,22.64,22.64,-0.9
Rathbone Ethical Bond R Acc,F0GBR04IQ6,EAA Fund GBP Corporate Bond,Pound Sterling,80.44%,41.08,1.12,45.95,13.45,4.23,9.22,36.73,36.73,-2.12
RLBF II Royal London Ethical Bond M Acc,F0000124RU,EAA Fund GBP Corporate Bond,Pound Sterling,83.80%,36.13,1.11,39.93,13.84,6.59,7.25,32.69,32.69,-3.29
Royal London Corporate Bond A Inc,F00000H6L0,EAA Fund GBP Corporate Bond,Pound Sterling,82.68%,39.23,1.11,43.48,15.33,7.24,8.08,35.4,35.4,-3.62
Royal London Corporate Bond Monthly Inc,F0GBR05ZMH,EAA Fund GBP Corporate Bond,Pound Sterling,85.93%,29.11,1.1,32.03,9.91,4.34,5.57,26.45,26.45,-2.17
Royal London Diversified ABS Fund Z Acc,F00000OWRV,EAA Fund GBP Corporate Bond,Pound Sterling,60.90%,12.9,1.25,16.11,13.92,8.14,5.77,10.33,10.33,-4.07
Royal London Sterling Credit Z Inc,F000002500,EAA Fund GBP Corporate Bond,Pound Sterling,81.26%,41.4,1.12,46.2,17.24,8.13,9.11,37.1,37.1,-4.07
Royal London Sustainable Mgd Inc D Acc,F0000106HJ,EAA Fund GBP Corporate Bond,Pound Sterling,85.62%,32.98,1.1,36.29,12.83,6.51,6.33,29.97,29.97,-3.25
Santander Sterling Bond Inc Portfolio RI,F00000H09X,EAA Fund GBP Corporate Bond,Pound Sterling,82.69%,44.48,1.11,49.38,21.84,12.51,9.33,40.06,40.06,-6.26
Santander Sterling Bond Portfolio RA,F000003YN1,EAA Fund GBP Corporate Bond,Pound Sterling,87.30%,33.6,1.09,36.72,17.92,11.94,5.97,30.75,30.75,-5.97
Sarasin Responsible Corporate Bond I Acc,F00000XZKM,EAA Fund GBP Corporate Bond,Pound Sterling,85.67%,41.14,1.09,44.87,17.11,9.96,7.15,37.72,37.72,-4.98
Schroder All Maturities Corp Bd I Acc,F0GBR06IQ3,EAA Fund GBP Corporate Bond,Pound Sterling,84.27%,41.61,1.1,45.92,20.79,12.57,8.22,37.71,37.71,-6.29
Schroder Long Dated Corporate Bond Y,F000014R86,EAA Fund GBP Corporate Bond,Pound Sterling,86.65%,67.59,1.11,74.73,66.19,52.59,13.59,61.13,61.13,-26.3
Schroder Sterling Corporate Bond A Inc,F0GBR04IQ8,EAA Fund GBP Corporate Bond,Pound Sterling,76.51%,60.74,1.12,68.15,23.15,9.14,14.01,54.14,54.14,-4.57
Scottish Widows Corporate Bd A Inc,F0GBR04CC2,EAA Fund GBP Corporate Bond,Pound Sterling,82.30%,43.15,1.11,47.93,20.99,11.91,9.08,38.85,38.85,-5.95
Scottish Widows Corporate Bd Trkr W Acc,F00000TV1U,EAA Fund GBP Corporate Bond,Pound Sterling,85.20%,38.71,1.09,42.37,16.96,9.96,7,35.37,35.37,-4.98
SEI GMF UK Credit Fixed Intst GBP Instl,F000005H92,EAA Fund GBP Corporate Bond,Pound Sterling,85.38%,42.15,1.09,45.89,17.36,10.2,7.16,38.73,38.73,-5.1
St James's Place Invmt Grd Corp Bd Acc,F000005G0U,EAA Fund GBP Corporate Bond,Pound Sterling,74.66%,53.45,1.13,60.29,20.08,7.17,12.91,47.38,47.38,-3.59
Sterling Bond Fund Strategy HD,F00000PGFA,EAA Fund GBP Corporate Bond,Pound Sterling,78.86%,20.95,1.13,23.71,7.93,2.73,5.2,18.51,18.51,-1.36
SVS Church House Invmt Grd Fxd Intr Inc,F0GBR04VL5,EAA Fund GBP Corporate Bond,Pound Sterling,78.62%,20.87,1.13,23.51,7.56,2.58,4.98,18.53,18.53,-1.29
TwentyFour Corporate Bond I GBP Acc,F00000V2C8,EAA Fund GBP Corporate Bond,Pound Sterling,84.72%,31.06,1.11,34.41,9.93,3.56,6.37,28.03,28.03,-1.78
UBS Sterling Corporate Bd Indexed J Inc,F00000POHI,EAA Fund GBP Corporate Bond,Pound Sterling,78.31%,45.63,1.13,51.7,25.22,13.79,11.43,40.27,40.27,-6.9
Vanguard UK Invm Grd Bd Idx œ Acc,F000001W0U,EAA Fund GBP Corporate Bond,Pound Sterling,88.76%,35.24,1.07,37.81,11.92,6.94,4.98,32.84,32.84,-3.47
abrdn (AAM) Sterling Shrt Dtd Corp K Acc,F00000XWQX,EAA Fund GBP Corporate Bond - Short Term,Pound Sterling,76.04%,8.69,1.15,9.96,6.31,3.93,2.38,7.58,7.58,-1.97
abrdn Short Dated Corp Bd Inst S Acc,F00000XYL2,EAA Fund GBP Corporate Bond - Short Term,Pound Sterling,75.17%,7.56,1.16,8.77,4.98,2.73,2.26,6.52,6.52,-1.36
AI Non-Gilt Bd Up to 5 YearsIdxInsPnsAcc,F000010Q67,EAA Fund GBP Corporate Bond - Short Term,Pound Sterling,74.19%,6.24,1.17,7.32,3.54,1.54,2,5.32,5.32,-0.77
AXA Sterling Crdt Shrt Dura Bd Z Grs Acc,F00000LJB0,EAA Fund GBP Corporate Bond - Short Term,Pound Sterling,70.76%,6.84,1.18,8.06,5.44,3.17,2.26,5.8,5.8,-1.59
CT Sterling SD Corp Bd Ins Grs Inc œ,F00000Y7RA,EAA Fund GBP Corporate Bond - Short Term,Pound Sterling,69.99%,25.88,1.18,30.62,12.29,3.54,8.75,21.87,21.87,-1.77
EdenTree Responsible & Sust Shrt Dtd B,F00000Z3W2,EAA Fund GBP Corporate Bond - Short Term,Pound Sterling,76.63%,5.63,1.14,6.4,3.22,1.78,1.44,4.96,4.96,-0.89
Fidelity Short Dated Crprate Bd W Acc,F00000XVXZ,EAA Fund GBP Corporate Bond - Short Term,Pound Sterling,76.74%,7.97,1.15,9.17,5.4,3.16,2.24,6.92,6.92,-1.58
L&G Short Dated œ Corporate Bd Idx C Acc,F00000SXB6,EAA Fund GBP Corporate Bond - Short Term,Pound Sterling,77.91%,9.05,1.13,10.26,5.91,3.63,2.28,7.98,7.98,-1.81
LF Canlife Short Duration Corp Bd C Acc,F00000XTVU,EAA Fund GBP Corporate Bond - Short Term,Pound Sterling,69.84%,7.78,1.19,9.25,6.36,3.66,2.7,6.55,6.55,-1.83
M&G Short Dated Corp Bd GBP A Inc,F0GBR04S8Q,EAA Fund GBP Corporate Bond - Short Term,Pound Sterling,66.58%,9.29,1.18,10.98,8.29,5.17,3.13,7.85,7.85,-2.58
RLBF II Royal London Shrt Dur Crdt Z Inc,F0000124RS,EAA Fund GBP Corporate Bond - Short Term,Pound Sterling,74.31%,9.74,1.17,11.38,7.42,4.38,3.03,8.34,8.34,-2.19
Royal London Inv Grade SD Credit Z Inc,F00000WWYH,EAA Fund GBP Corporate Bond - Short Term,Pound Sterling,76.88%,7.27,1.17,8.47,4.39,2.16,2.23,6.23,6.23,-1.08
Sanlam Sht-Dated Corp Bd A,F000002SIG,EAA Fund GBP Corporate Bond - Short Term,Pound Sterling,66.57%,4.6,1.2,5.53,3.27,1.56,1.71,3.82,3.82,-0.78
Vanguard UK S/T Invm Grd Bd Idx œ Acc,F00000PZUV,EAA Fund GBP Corporate Bond - Short Term,Pound Sterling,70.91%,6.12,1.21,7.38,4.08,1.78,2.3,5.08,5.08,-0.89
Vontobel TwentyFour Abs RetCrdt G GBP,F00000W9MC,EAA Fund GBP Corporate Bond - Short Term,Pound Sterling,73.08%,6.89,1.19,8.17,5.09,2.74,2.35,5.82,5.82,-1.37
abrdn Sterling Bond I Acc,F00000W3P1,EAA Fund GBP Diversified Bond,Pound Sterling,90.96%,36.86,1.07,39.58,48.15,42.91,5.24,34.33,34.33,-21.46
AI Stewardship Fxd Int UK Corp Inc,F00000Y5FC,EAA Fund GBP Diversified Bond,Pound Sterling,85.07%,32.67,1.11,36.12,12.12,5.56,6.56,29.56,29.56,-2.78
ASC(Offshore) Sterling Fixed Intst Inc,F0000007WT,EAA Fund GBP Diversified Bond,Pound Sterling,84.15%,46.56,1.1,51.01,20.42,11.91,8.51,42.5,42.5,-5.95
Baillie Gifford Invm Grd Lng Bd B Inc,F0GBR04HTH,EAA Fund GBP Diversified Bond,Pound Sterling,84.10%,63.51,1.11,70.53,47.48,34.14,13.34,57.19,57.19,-17.07
Baillie Gifford Sterling Agg Bd B Acc,F00000ZMDR,EAA Fund GBP Diversified Bond,Pound Sterling,89.52%,37.63,1.08,40.58,27.38,21.69,5.69,34.89,34.89,-10.84
BlackRock Charities UK Bond A Inc,F000014I6F,EAA Fund GBP Diversified Bond,Pound Sterling,92.76%,25.6,1.06,27.04,15.75,12.93,2.81,24.23,24.23,-6.47
Canaccord Genuity Bond A GBP Inc,F00000S8FM,EAA Fund GBP Diversified Bond,Pound Sterling,81.75%,21.68,1.11,24.15,7.33,2.64,4.69,19.46,19.46,-1.32
CCLA CBF CoE Fixed Interest Secs Acc,FOGBR05K8W,EAA Fund GBP Diversified Bond,Pound Sterling,93.55%,25.65,1.05,26.88,13.85,11.44,2.42,24.47,24.47,-5.72
CCLA COIF Charities Fixed Interest Inc,FOGBR05KPF,EAA Fund GBP Diversified Bond,Pound Sterling,93.87%,24.57,1.04,25.68,13.06,10.9,2.16,23.51,23.51,-5.45
Close Sustainable Bond Portfolio X Inc,F00000PZ8J,EAA Fund GBP Diversified Bond,Pound Sterling,81.91%,29.39,1.13,33.09,9.75,2.75,7,26.09,26.09,-1.37
EdenTree Responsible & Sust Stlg B,F000001L02,EAA Fund GBP Diversified Bond,Pound Sterling,79.81%,33.01,1.13,37.18,10.49,2.61,7.88,29.3,29.3,-1.31
Fidelity Long Bond Fund W Inc,F0GBR04G9Z,EAA Fund GBP Diversified Bond,Pound Sterling,92.39%,78.91,1.06,83.67,150.88,141.63,9.24,74.43,74.43,-70.82
Fidelity Pre-Ret Bd W Acc,F00000RZ6X,EAA Fund GBP Diversified Bond,Pound Sterling,93.22%,43.65,1.05,45.98,47.85,43.32,4.54,41.44,41.44,-21.66
Fidelity Sust UK Aggt Bd I Acc,F00000098G,EAA Fund GBP Diversified Bond,Pound Sterling,91.58%,38.23,1.06,40.67,31.11,26.37,4.74,35.93,35.93,-13.19
Insight Inv UK Broad Mkt Bd Gross P,F0GBR06JYZ,EAA Fund GBP Diversified Bond,Pound Sterling,93.13%,35.32,1.05,37.2,29.85,26.18,3.67,33.53,33.53,-13.09
